Round_Mode, attacker_Name, attacker_Role, victim_Role
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,traitor
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,detective
3,PsydonPB,innocent,detective
3,PsydonPB,innocent,innocent
3,PsydonPB,innocent,killer
3,PsydonPB,innocent,traitor
3,PsydonPB,innocent,innocent
3,PsydonPB,innocent,assassin
3,PsydonPB,traitor,innocent
3,PsydonPB,traitor,traitor
3,PsydonPB,traitor,innocent
3,PsydonPB,traitor,detective
3,PsydonPB,traitor,innocent
3,PsydonPB,traitor,innocent
3,PsydonPB,traitor,innocent
3,PsydonPB,vampire,innocent
3,PsydonPB,vampire,innocent
3,PsydonPB,vampire,innocent
3,PsydonPB,vampire,jester
4,PsydonPB,vampire,traitor
4,PsydonPB,vampire,innocent
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,innocent
3,PsydonPB,assassin,jester
3,PsydonPB,phantom,innocent
3,PsydonPB,phantom,glitch
3,PsydonPB,phantom,zombie
3,PsydonPB,phantom,zombie
3,PsydonPB,phantom,innocent
3,PsydonPB,phantom,detective
3,PsydonPB,phantom,zombie
